good morning,早上好；早晨
efficiently,adv.,高效地
effrontery,n.,厚颜无耻
effusive,adj.,热情洋溢的
egalitarian,adj.,平等主义的
egalitarian,n.,平等主义者
egg-beater,n.,打蛋器
eggplant,n.,茄子
eggs,n.,蛋（复数）
egocentric,adj.,自我中心的
egocentric,n.,自我中心的人
egoistic,adj.,利己主义的
eject,v.,弹出；驱逐
ejection,n.,弹出；喷出
elaborateness,n.,精心；精巧
elaboration,n.,详细阐述
elastic,adj.,有弹性的；灵活的
elastic,n.,松紧带
elasticity,n.,弹性；灵活性
elation,n.,兴高采烈
electorate,n.,全体选民
electric appliance,n.,电器
electric blanket,n.,电热毯
electric bulb,n.,电灯泡
electric car,n.,电动汽车
electric fan,n.,电风扇
electric heater,n.,电暖器
electric iron,n.,电熨斗
electric mixer,n.,电动搅拌机
electric razor,n.,电动剃须刀
electrician,n.,电工
electricity supply,n.,供电
electromagnetic oven,n.,电磁炉
electronic card,n.,电子卡
electronic dictionary,n.,电子词典
electronic directory,n.,电子目录
electronic engineering,n.,电子工程
electronic media,n.,电子媒体
electronic supply,n.,电子供应
elementary school,n.,小学
elements,n.,要素（复数）；基础
elevated,adj.,提高的；高尚的
elevation,n.,海拔；高度
elicit,v.,引出；探出
elicitation,n.,引出；诱出
eligibility,n.,资格
eligible,adj.,有资格的；合格的
elitist,adj.,精英主义的
elitist,n.,精英主义者
elixir,n.,灵丹妙药
ellipsis,n.,省略号
elongate,v.,（使）延长；（使）拉长
eloquence,n.,口才；雄辩
eloquent,adj.,有口才的；雄辩的
eloquently,adv.,雄辩地
elucidate,v.,阐明；解释
elusive,adj.,难懂的；难捉摸的
elusively,adv.,难以捉摸地
elusiveness,n.,难以捉摸
email address,n.,电子邮件地址
emails,n.,电子邮件（复数）
embankment,n.,堤岸；路堤
embark,v.,上船（或飞机）；开始从事
embark on,开始；着手 
embarrassingly,adv.,令人尴尬地
embed,v.,嵌入；植入
embellish,v.,装饰；美化
embezzlement,n.,贪污；挪用
emblazon,v.,装饰；颂扬
emblazoned,adj.,装饰有…的
embodiment,n.,化身；体现
embody,v.,体现；包含
emboss,v.,使有浮雕花纹
embroider,v.,刺绣；渲染
embroidery,n.,刺绣；刺绣品
embryo,n.,胚胎；雏形
embryonic,adj.,胚胎的；萌芽期的
emergency exit,紧急出口 
emergency fire door,紧急防火门 
emergent,adj.,新兴的；紧急的
emeritus,adj.,名誉退休的
emigration,n.,移居国外
emissary,n.,使者；密使
emotive,adj.,激起强烈情感的
emphasise,v.,强调
emphasize topics,强调主题 
emphysema,n.,肺气肿
empirical,adj.,经验主义的；以实验为依据的
empirically,adv.,凭经验地
empower,v.,授权；使能够
emulate,v.,效仿；模仿
emulation,n.,效仿；竞争
emulator,n.,仿真器
en suite,adj.,（浴室）与卧室相连的
enact,v.,制定（法律）；扮演
enamelware,n.,搪瓷器皿
encapsulate,v.,概括；封装
encapsulation,n.,封装；概括
encase,v.,把…装入箱中；包住
enchanting,adj.,迷人的；令人陶醉的
encircle,v.,环绕；包围
enclose,v.,围住；把…装入信封
enclosed,adj.,随信附件的；封闭的
encode,v.,编码
encompass,v.,包含；包围
encore,int.,再来一个
encore,n.,加演节目
encroach,v.,侵占；侵犯
encyclopaedia,n.,百科全书
end up,最终成为；最后处于 
end-to-end,adj.,端到端的
endeavor,n.,努力；尝试
endeavor,v.,努力；尝试
endemic,adj.,（某地）特有的；地方性的
endemic,n.,地方病
endorse,v.,赞同；支持；（在支票背面）签名
endowment,n.,捐赠；天赋
endurable,adj.,可忍受的
enduring,adj.,持久的；不朽的
energy saving,节能 
enervation,n.,衰弱；无力
enfranchise,v.,给予选举权；解放
enfranchisement,n.,给予选举权；解放
engaged,adj.,忙碌的；订婚的；（电话）占线的
engineers,n.,工程师（复数）
engraving,n.,雕刻品；版画
engross,v.,使全神贯注
engrossed,adj.,全神贯注的
engrossing,adj.,引人入胜的
enhancement,n.,提高；增强
enhancer,n.,增强剂
enigma,n.,谜；难解之物
enlargement,n.,扩大；放大（的照片）
enlightening,adj.,有启发性的
enlist,v.,（使）入伍；谋求（支持）
enormity,n.,巨大；严重性；暴行
enquire,v.,询问
enquiry,n.,询问
enrol,v.,注册；登记
enrolment,n.,注册；登记
ensemble,n.,全体；合奏组；全套服装
enslave,v.,奴役
entangle,v.,使纠缠；使卷入
entanglement,n.,纠缠；牵连
enterprise planning department,企业规划部 
entertainer,n.,演艺人员
entertainment activities,娱乐活动 
entertainment field,娱乐领域 
entertainment industry,n.,娱乐业
entertainment ways,娱乐方式 
enthusiastically,adv.,热情地
entice,v.,引诱；诱使
entirely,adv.,完全地；彻底地
entitlement,n.,权利；资格
entity,n.,实体；存在
entomologist,n.,昆虫学家
entrench,v.,确立；用壕沟防护
entrepreneurial,adj.,企业家的；有创业精神的
entrepreneurship,n.,企业家精神
entrust,v.,委托；信托
entry requirement,入学要求 
entwine,v.,（使）缠绕；（使）交织
enumerate,v.,列举；枚举
environ,v.,包围；环绕
environment agency,环境署 
environment and resources biology,环境与资源生物学 
environment damage,环境破坏 
environmental conservation,n.,环境保护
environmental constraint,n.,环境制约
environmental degradation,n.,环境恶化
environmental improvement,n.,环境改善
environmental lapse rate,n.,环境直减率
environmental pollutant,n.,环境污染物
environmental pollution,n.,环境污染
environmental protection,n.,环境保护
environmental risk,n.,环境风险
environmental sanitation,n.,环境卫生
envisage,v.,设想；展望
enzyme,n.,酶
epidemiologist,n.,流行病学家
epigram,n.,警句；讽刺短诗
epigraph,n.,题词；碑文
epilogue,n.,（书的）后记；（戏剧的）收场白
episodic,adj.,插曲式的；偶然发生的
epitome,n.,缩影；典范
epitomise,v.,是…的缩影；概括
epitomize,v.,是…的缩影；概括
equal working opportunities,平等的工作机会 
equalitarian,adj.,平等主义的
equalitarian,n.,平等主义者
equals,n.,同等的人
equals,v.,等于
equals operator,等号运算符 
equanimity,n.,平静；镇定
equation,n.,方程式；等式；均衡
equitable,adj.,公平的；公正的
equity,n.,公平；公正；（公司的）股本
equivalence,n.,相等；等值
equivocal,adj.,模棱两可的；含糊的
eradicate,v.,根除；消灭
eradication,n.,根除；消灭
erection,n.,建造；建立
erosion,n.,侵蚀；腐蚀
errant,adj.,犯错误的；行为不当的
error message,n.,错误信息
eruption,n.,（火山）爆发；（战争、疾病等）爆发
escalate,v.,（使）逐步升级；（使）加剧
escapade,n.,越轨行为；恶作剧
escapologist,n.,逃脱术表演者
eschew,v.,避开；避免
esoteric,adj.,深奥的；只有内行才懂的
essay deadline,论文截止日期 
essay writing,论文写作 
essays,n.,文章（复数）
essentially,adv.,本质上；基本上
established,adj.,已确立的；公认的
esteem,n.,尊重；尊敬
esteem,v.,尊重；尊敬
estrange,v.,使疏远
estuary,n.,河口湾
eternal life,n.,永生
ethereal,adj.,飘渺的；优雅的
ethical,adj.,道德的；伦理的
ethics,n.,伦理学；道德规范
ethnic group,n.,族群
ethnic style,n.,民族风格
ethnicity,n.,种族；族裔
ethnographer,n.,民族志学者
ethnographic,adj.,民族志的
ethnography,n.,民族志
ethnology,n.,人种学
eugenics,n.,优生学
evacuate,v.,疏散；撤离
evaluative,adj.,评估的
evaporate,v.,（使）蒸发；消失
evaporation,n.,蒸发；消失
evaporation rate u,n.,蒸发率
evaporator,n.,蒸发器
evening meals,晚餐 
evening news,晚间新闻 
evening party celebrating National Day,国庆晚会 
evening party celebrating the Spring Festival,春节联欢晚会 
evening school,夜校 
evening show,晚场演出 
evenings,adv.,每晚
event,n.,事件；活动；比赛项目
eventuality,n.,可能发生的事；不测事件
everlasting,adj.,永恒的；持久的
evocation,n.,唤起；招魂
evoke,v.,唤起；引起
evolution of human society,人类社会演变 
evolutionarily,adv.,进化上
exacerbate,v.,使恶化；加剧
exactly,adv.,确切地；正是
exaggerated,adj.,夸张的
exalt,v.,提拔；颂扬
examination,n.,考试；检查
excavate,v.,挖掘；发掘
excavation,n.,挖掘；发掘
excavator,n.,挖掘机
exceeding,adj.,非常的；极度的
excess luggage,n.,超重行李
excessive amount of fishing,过度捕捞 
excessive hunting,过度捕猎 
excessively,adv.,过分地；过度地
exchange information,交换信息 
exchange rate,汇率 
excise,n.,消费税
excise,v.,切除；删除
exclusive interview,独家专访 
excreta,n.,排泄物
excrete,v.,排泄；分泌
excursion ticket,往返优待票 
excusable,adj.,可原谅的
executable,adj.,可执行的
exemplification,n.,例证；范例
exemption,n.,免除；豁免
exercise one's arm and leg muscles,锻炼四肢肌肉 
exhalation,n.,呼气
exhale,v.,呼气
exhaust gas,n.,废气
exhaust the resources,耗尽资源 
exhausted,adj.,筋疲力尽的；耗尽的
exhaustible,adj.,可耗尽的
exhaustive,adj.,详尽的；彻底的
exhibition match,n.,表演赛
exhibitor,n.,参展商
exhilarate,v.,使高兴；使振奋
exhilaration,n.,高兴；兴奋
exhume,v.,掘出（尸体）
exodus,n.,大批离开
exorbitant,adj.,（价格、要求等）过高的
expanding,adj.,不断扩大的
expanse,n.,一大片；广阔
expansively,adv.,广阔地；开朗地
expatriate,n.,移居国外者
expatriate,v.,移居国外
expectations,n.,期望（复数）
expediency,n.,权宜之计；方便
expedient,adj.,权宜的；方便的
expedient,n.,权宜之计
expel,v.,开除；驱逐
experimentation,n.,实验
experts' comment,专家评论 
expire,v.,到期；期满；去世
expiry,n.,到期；期满
explain the knowledge,解释知识 
explanatory,adj.,解释性的
expletive,n.,咒骂语
explicitly,adv.,明确地
explicitness,n.,明确
exploitative,adj.,剥削的；利用的
exploratory,adj.,探索性的
explore answers,探索答案 
explore the city,探索城市 
explorer trip,探险之旅 
expo,n.,博览会
exponent,n.,倡导者；指数
exponential,adj.,指数的；迅速增长的
expose,v.,暴露；揭露；使接触
exposition,n.,博览会；阐述
express emotions,表达情感 
express our concern and emotions,表达我们的关心和情感 
express ticket,n.,快车票
express trains,n.,特快列车
expunge,v.,删除；抹去
expurgate,v.,删改（书等）
extendable,adj.,可延长的
extended family,大家庭 
externality,n.,外部性
externally,adv.,外部地
extinct,adj.,灭绝的
extinction,n.,灭绝
extinguish,v.,熄灭；扑灭
extinguisher,n.,灭火器
extra fee,额外费用 
extra game,加时赛 
extra money,额外的钱 
extra period,加时赛 
extract,n.,提取物；摘录
extract,v.,提取；拔出；摘录
extractor fan,n.,排气扇
extracurricular,adj.,课外的
extracurricular activities,课外活动 
extradite,v.,引渡
extraneous,adj.,无关的；外来的
extrapolation,n.,推断；外推
extravagance,n.,奢侈；浪费
extreme game,极限运动 
extreme games,极限运动 
extrovert,n.,性格外向的人
extroverted,adj.,性格外向的
extroverted behaviour,外向行为 
extrusion,n.,挤出；推出
exuberant,adj.,精力充沛的；热情洋溢的
eye contacts,目光接触 
eye-catching,adj.,引人注目的
eyebrow pencil,眉笔 
eyedrops,n.,眼药水
eyelash,n.,睫毛
eyelid,n.,眼睑
eyeliner,n.,眼线笔
eyepiece,n.,目镜
eyes,n.,眼睛（复数）
f-string,n.,f字符串
fable,n.,寓言
fable,v.,虚构
fabricate,v.,制造；捏造
fabrication,n.,制造；捏造
fabulous,adj.,极好的；绝妙的
facade,n.,（建筑物的）正面；外表
face painting,脸部彩绘 
face powder,n.,粉饼
face to face guidance,面对面指导 
face-to-face,adj.,面对面的
face-to-face,adv.,面对面地
facet,n.,（问题等的）一个方面；（宝石的）小平面
facilitator,n.,促进者；协调人
facilities,n.,设施；设备
facsimile,n.,传真；复制品
fact sheet,n.,资料页
factories,n.,工厂（复数）
factory,n.,工厂
factual programme,纪实节目 
faculty head,系主任 
faculty office,系办公室 
fade,v.,（使）褪色；逐渐消失
fade in,（画面或声音）渐强 
fade out,（画面或声音）渐弱 
fading,n.,褪色；衰退
fail-fast,n.,快速失败
fair charge,n.,合理收费
fairground,n.,露天游乐场
fairy,n.,仙女；小精灵
falcon,n.,猎鹰；隼
fall into a flat spin,陷入混乱 
fall into place,各就各位；变得清晰 
fall sick,生病 
fallacious,adj.,谬误的；骗人的
fallacy,n.,谬论；谬误
fallow,adj.,休耕的
FALSE,adj.,错误的；虚假的
false news,n.,假新闻
falsehood,n.,谎言；虚假
falsy,n.,假值
familiar with the routes,熟悉路线 
familiarise,v.,使熟悉
familiarize,v.,使熟悉
families,n.,家庭（复数）
family business,n.,家族企业
family ceremony,n.,家庭仪式
family doctor,n.,家庭医生
family history,n.,家族史
family house,n.,家庭住宅
family members,n.,家庭成员
family name,n.,姓
family photo,n.,全家福
family relationship,n.,家庭关系
family reunion,n.,家庭团聚
family ticket,n.,家庭票
family tie,家庭纽带 
family tree,n.,家谱
family unit,家庭单位 
family-run,adj.,家族经营的
famous author,著名作家 
famous brands,著名品牌 
famous park,著名公园 
famous resort,著名度假胜地 
fan dancing,扇子舞 
fancy ball,化装舞会 
fancy dress,n.,化装服
fancy goods,n.,新奇小商品
fancy watch,花式手表 
fanfare,n.,大张旗鼓的宣传；号角齐鸣
fantasize,v.,幻想
fantastic garments,奇装异服 
fantastically,adv.,极好地；难以置信地
far end,n.,远端
far side,n.,另一边
far-fetched,adj.,牵强的
far-reaching,adj.,影响深远的
farewell party,告别会 
farmers,n.,农民（复数）
farming community,农业社区 
farming products,农产品 
fashion magazine,n.,时尚杂志
fashionable clothes,时尚服装 
fast food,n.,快餐
fast food shop,n.,快餐店
fastback,n.,溜背式汽车
fasten,v.,系牢；扣紧
fastening,n.,扣件；系带
fastidious,adj.,挑剔的；一丝不苟的
fat meat,n.,肥肉
father-in-law,n.,岳父；公公
fatty,adj.,油腻的；脂肪的
fatty,n.,胖子
faucet,n.,水龙头
fauna,n.,（某地区的）动物群
favourable,adj.,有利的；赞成的
feasibility,n.,可行性
feast,n.,宴会；盛宴；节日
feast,v.,尽情享用；参加宴会
feat,n.,功绩；壮举
feather,n.,羽毛
feathers,n.,羽毛（复数）
feature film,故事片 
federalism,n.,联邦制
federalist,n.,联邦主义者
federation,n.,联邦；联盟
feeble,adj.,虚弱的；微弱的
feeding,n.,喂养；进食
feeding time,n.,喂食时间
feel at ease,感到自在 
feel bored,感到无聊 
feel cozy,感到舒适 
feel exhausted,感到筋疲力尽 
feel lonely,感到孤独 
feel lonely or stressful,感到孤独或有压力 
feel proud,感到自豪 
feel relaxed,感到放松 
feel relaxed and refreshed,感到放松和精神焕发 
feel satisfied,感到满意 
feel the rhythm of rocking,感受摇摆的节奏 
feel tired and reluctant,感到疲惫和不情愿 
feel uncomfortable,感到不舒服 
feeling,n.,感觉；情感；看法
fees,n.,费用（复数）
feet,n.,脚（复数）；英尺（复数）
fell,v.,砍倒；击倒
fellowship,n.,伙伴关系；友谊；奖学金
felony,n.,重罪
felt-tip pen,n.,毡头笔；水彩笔
female supporting role,n.,女配角
female warrior role,n.,女武旦
feminine,adj.,女性的；有女人味的
feminism,n.,女权主义
feminist,n.,女权主义者
fence off,用栅栏隔开 
fencing,n.,击剑；栅栏材料
fencing instructor,n.,击剑教练
fencing master,n.,击剑大师
ferocious,adj.,凶猛的；残忍的
fertile soil,n.,肥沃的土壤
fertilise,v.,施肥；使受精
fertiliser,n.,肥料
fertilization,n.,受精；施肥
fertilize,v.,施肥；使受精
fertilized,adj.,受精的
fertilizers,n.,肥料（复数）
fervent,adj.,热情的；热烈的
festive lantern,n.,节日灯笼
feudalism,n.,封建主义
fiber,n.,纤维
fiberglass,n.,玻璃纤维
fibre,n.,纤维
fibrosis,n.,纤维化
fibrous,adj.,纤维状的
fickle,adj.,易变的；无常的
fictitious,adj.,虚构的；假的
fidelity,n.,忠诚；保真度
field events,田赛项目 
field of view,视野 
field research,实地研究 
field study,实地研究 
field survey,实地调查 
fields,n.,领域（复数）
fieldwork,n.,实地考察
fiend,n.,恶魔；…迷
fig,n.,无花果
figurative,adj.,比喻的
figure skating,n.,花样滑冰
filch,v.,偷窃
file object,文件对象 
file-like object,类文件对象 
filename,n.,文件名
filing,n.,文件归档；锉屑
fill in,填写 
fill out,填写；长胖 
fill sb.,in on sth,向某人详细介绍某事 
filler,n.,填充物；补白
film a novel,把小说拍成电影 
film counter,n.,胶片计数器
film dubbing studio,n.,电影配音室
film extra,n.,群众演员
film festival,n.,电影节
film on location,实地拍摄 
film rating,n.,电影分级
film studio,n.,电影制片厂
films,n.,电影（复数）
filtration,n.,过滤
fin,n.,鳍
finagle,v.,骗取；欺诈
finale,n.,终曲；结尾
finalize the design,v.,最终确定设计
finance market,n.,金融市场
finance office,n.,财务室
financial circumstance,n.,财务状况
financial department,n.,财务部
financial deputy president,n.,财务副总裁
financial goals,n.,财务目标
financial matter,n.,财务问题
financial page,n.,财经版
financial problem,n.,财务问题
financial results,n.,财务业绩
financial support,n.,财政支持
finder,n.,发现者；取景器
fine art,n.,美术
finished,adj.,完成的；结束的
fire drill,消防演习 
fire-eater,n.,吞火表演者
firecracker,n.,鞭炮
firefighter,n.,消防员
firefly,n.,萤火虫
fireplaces,n.,壁炉（复数）
firewood,n.,木柴
firework,n.,烟花
fireworks,n.,烟花
first bus,首班车 
first class seating,头等舱座位 
first draft,n.,初稿
first edition,n.,第一版
first half,n.,上半场
first issue,创刊号 
first mate,n.,大副
first name,n.,名字
first night,n.,首演之夜
first nighter,n.,首演常客
first-aid kit,n.,急救箱
first-class function,一等函数 
first-class object,一等对象 
first-years,n.,大一新生
fish cake,n.,鱼饼
fish farm,n.,养鱼场
fish industry,n.,渔业
fishing,n.,钓鱼；渔业
fishing boats,n.,渔船
fishing lesson,n.,钓鱼课
fishing trip,n.,钓鱼之旅
fit into the team or group,融入团队 
fitness,n.,健康；健美
fitness center,n.,健身中心
fitness centre,n.,健身中心
fitness exercise,n.,健身操
fitness level,n.,健康水平
fitness room,n.,健身房
fitness training,n.,健身训练
fitted clothes,n.,合身的衣服
fitting,adj.,合适的
fitting,n.,试衣；配件
fix up with,安排；提供 
fixed assets,n.,固定资产
fixed hand-in date,n.,固定上交日期
fixed working hours,n.,固定工作时间
flame,n.,火焰；热情
flame,v.,燃烧；（脸）变红
flaming,adj.,燃烧的；火红的
flap,n.,拍打；紧张；（飞机）襟翼
flap,v.,拍动；紧张不安
flare,n.,闪光；（疾病、暴力）爆发
flare,v.,闪耀；（疾病、暴力）爆发
flash light,n.,闪光灯
flasher,n.,闪光装置；暴露狂
flashing,adj.,闪烁的
flashlight,n.,手电筒
flashy,adj.,俗艳的；华而不实的
flask,n.,烧瓶；长颈瓶
flat and low lying land,平坦低洼地 
flat drive,平抽球 
flat heels,平底鞋 
flat sequence,扁平序列 
flat stroke,n.,平击
flatten,v.,（使）变平；摧毁
flatter,v.,奉承；使显得更漂亮
flavour,n.,味道；风味
flavour,v.,给…调味
flavouring,n.,调味品
flawed,adj.,有瑕疵的；有缺陷的
fledgeling,n.,雏鸟；新手
fledgling,n.,雏鸟；新手
flexibly,adv.,灵活地
flexitime,n.,弹性工作时间制
flies,n.,苍蝇（复数）
flight engineer,n.,随机工程师
flight irregularity,n.,航班不正常
flight number,n.,航班号
flimsy,adj.,脆弱的；不结实的
flip,v.,（使）快速翻转；轻弹
flit,v.,轻快地飞过；掠过
float division,浮点除法 
floating,adj.,漂浮的；流动的
floating point,浮点 
flock,n.,（羊、鸟）群
flock,v.,聚集；成群
flock to,蜂拥至 
floodlight,n.,泛光灯
floodlight,v.,用泛光灯照明
floodwater,n.,洪水
floor division,整除 
floor exercise,n.,自由体操
floor lamp,n.,落地灯
flop,n.,失败
flop,v.,失败；重重坐下
floppy,adj.,松软的
floppy,n.,软盘
flora,n.,（某地区或时期的）植物群
floral,adj.,花的；有花卉图案的
floriferous,adj.,多花的
florist,n.,花商；花店
flour,n.,面粉
flour,v.,撒粉
flourishing,adj.,繁荣的；茂盛的
flourishment,n.,繁荣
flow chart,n.,流程图
flow of execution,执行流程 
flow through,v.,流经
flower arrangement,n.,插花
flower vase,n.,花瓶
flowers,n.,花（复数）
flowers or cosmetics,n.,花或化妆品
flowers or landscape,n.,花或风景
fluctuate,v.,波动；起伏
fluffy,adj.,松软的；毛茸茸的
fluidity,n.,流动性
fluids,n.,液体（复数）
fluke,n.,侥幸；意外的好运
fluorescent,adj.,荧光的
fluorescent lamp,荧光灯 
flush,v.,冲洗；（脸）发红
fluster,v.,使慌乱
flustered,adj.,慌乱的
flute,n.,长笛
flutter,v.,振翅；飘动；（心脏）怦怦跳
flux,n.,不断的变动；流量
flyby,n.,飞越
flyer,n.,传单；飞行员
foam,n.,泡沫
foam,v.,起泡沫
focal,adj.,焦点的；中心的
foe,n.,敌人
foetus,n.,胎儿
foil,n.,箔；陪衬
foil,v.,挫败；阻止
folded,adj.,折叠的
folding,adj.,可折叠的
foment,v.,煽动；挑起
fondness,n.,喜爱；钟爱
font,n.,字体
food chain,n.,食物链
food containers,n.,食品容器
food for the Spring Festival,n.,春节食品
food intake,n.,食物摄入量
food mixer,n.,食品搅拌机
food processing,n.,食品加工
food source,n.,食物来源
food supply,n.,食品供应
foods,n.,食物（种类）
foolish,adj.,愚蠢的
foot massage,n.,足部按摩
footage,n.,（影片的）片段
football field,n.,足球场
football helmet,n.,橄榄球头盔
football pitch,n.,足球场
football player,n.,足球运动员
football sock,n.,足球袜
footbridge,n.,人行天桥
footbridges,n.,人行天桥（复数）
footlight,n.,脚灯
footpath,n.,小路；人行道
footprints,n.,脚印（复数）
for free,免费 
for good,永久地 
for instance,例如 
for loops,for循环 
for the sake of,为了 
forage,n.,饲料
forage,v.,搜寻（食物）
forager,n.,觅食者
forced,adj.,被迫的；勉强的
forced landing,n.,迫降
forecourt,n.,前院
forebear,n.,祖先
forefather,n.,祖先
forefront,n.,最前沿
foregone conclusion,预料之中的结果 
foreground,n.,前景
forehead,n.,前额
foreign exchange,n.,外汇
foreign language,n.,外语
foreland,n.,前沿地带；海角
foresee,v.,预见；预知
forest campsite,n.,森林露营地
forestall,v.,预先阻止
forestry,n.,林业
forests,n.,森林（复数）
foreword,n.,前言；序
forfeit,n.,罚金；丧失的东西
forfeit,v.,（因犯错而）丧失
forget-me-not,n.,勿忘我
forgo,v.,放弃
formaldehyde,n.,甲醛
formative,adj.,形成性的
formats,n.,格式（复数）
formed,adj.,成形的
formerly,adv.,以前
forms,n.,表格（复数）
formulation,n.,制定；构想
fort,n.,堡垒；要塞
forth,adv.,向前；往外
forthcoming,adj.,即将到来的
fortify,v.,加强；增强
fortitude,n.,刚毅；坚韧
fortnight,n.,两星期
fortuitous,adj.,偶然的
forward-looking,adj.,有远见的
forwards,adv.,向前
fossilise,v.,使石化
foster,adj.,收养的
foster,v.,培养；抚育；促进
foul,adj.,犯规的；肮脏的；恶劣的
foul,n.,犯规
foul,v.,犯规；弄脏
foundational,adj.,基础的
fountain,n.,喷泉；源泉
fountain pen,n.,钢笔
four nights,四晚 
four nil,四比零 
four treasures of the study,文房四宝 
four-wheel-drive tour,四驱车之旅 
four-year degree,四年制学位 
fourfold,adj.,四倍的
foxtrot,n.,狐步舞
foyer,n.,（剧院、宾馆的）门厅,休息室
fracture,n.,骨折；断裂
fracture,v.,（使）骨折；（使）断裂
fragile,adj.,易碎的；脆弱的
fragmentary,adj.,零碎的；不完整的
fragmentation,n.,破碎；分裂
fragrance,n.,香味；香水
fragrant,adj.,芳香的
frail,adj.,脆弱的；虚弱的
frailty,n.,脆弱；弱点
franchise,n.,特许经营权
franchise,v.,授予特许经营权
fraud,n.,欺诈；骗子
fraught,adj.,充满（问题、危险）的；令人担忧的
free accommodation,免费住宿 
free booklet,免费小册子 
free drink,免费饮料 
free entry,免费入场 
free exercise,自由体操 
free kick,任意球 
free luggage allowance,免费行李额 
free meal,免费餐 
free medication,免费药物 
free parking,免费停车 
free port,n.,自由港
free radical,n.,自由基
free style,自由式 
free time,n.,空闲时间
free transportation,免费交通 
free up,v.,腾出；释放
free-hand exercise,徒手体操 
free-ranging,adj.,自由放养的
free-style wrestling,n.,自由式摔跤
freefone,n.,免费电话
freelance,adj.,自由职业的
freelance,n.,自由职业者
freelancer,n.,自由职业者
freezer,n.,冰箱；冷冻柜
freezing,adj.,极冷的
freighter,n.,货船
frequently,adv.,频繁地；经常地
fresh air,新鲜空气 
fresh and modern,清新现代 
fresh food,新鲜食物 
fresh meat,n.,鲜肉
fresh water,n.,淡水
fresher,n.,（大学）新生
freshwater,adj.,淡水的
freshwater fish,n.,淡水鱼
frictional,adj.,摩擦的
fried egg,n.,煎蛋
friendly match,n.,友谊赛
friends,n.,朋友（复数）
frightening,adj.,令人恐惧的
frigid,adj.,寒冷的；冷淡的
fringe,n.,边缘；刘海
frock,n.,连衣裙
frogs,n.,青蛙（复数）
from generation to generation,世世代代 
front cover,n.,封面
front desk,n.,前台
front door,n.,前门
front doorbell,n.,前门门铃
front garden,n.,前花园
front page,n.,头版
front room,n.,前厅
front row ticket,n.,前排票
front-line,adj.,前线的
froth,n.,泡沫
froth,v.,起泡沫
frown,n.,皱眉
frown,v.,皱眉
frown upon,v.,不赞成
frozen meat,n.,冻肉
frugal,adj.,节俭的
fruit cake,n.,水果蛋糕
fruit juice,n.,果汁
fruit tree,n.,果树
fruitcake,n.,水果蛋糕
fruitful function,有返回值的函数 
fruition,n.,实现；完成
fruitless,adj.,徒劳的；不结果实的
fruits,n.,水果（种类）
frustrated,adj.,沮丧的；失意的
frying pan,n.,煎锅
fugitive,n.,逃亡者
fulfil,v.,实现；履行
fulfilling,adj.,令人满足的
fulfilment,n.,实现；满足感
full back,n.,后卫
full employment,n.,充分就业
full name,n.,全名
full of imagination,充满想象力 
full refund,全额退款 
full score,n.,总分；满分
full time,n.,全职
full-page advertisement,整版广告 
full-time school,全日制学校 
fully,adv.,完全地；充分地
fully-licensed,adj.,有完全执照的
fume,v.,发怒；冒烟
fumes,n.,（有害的）烟,气
fun fair,n.,游乐场
function annotation,函数注解 
function call,函数调用 
function definition,函数定义 
function object,函数对象 
functional programming style,函数式编程风格 
functions of products,产品功能 
fundamentally,adv.,根本上
fungi,n.,真菌（复数）
fungus,n.,真菌；霉菌
funnel,n.,漏斗；烟囱
funnel,v.,（使）通过漏斗；（使）汇集
funny punch lines,搞笑的妙语 
fur seal,n.,海狗
furious,adj.,狂怒的；激烈的
furnace,n.,熔炉；火炉
furnishing,n.,家具；陈设
furnishings,n.,家具；陈设品
furniture shop,家具店 
further,adj.,更远的；进一步的
further,adv.,进一步地；更远地
further,v.,促进
further education,继续教育 
further training,进修 
fusion,n.,融合；熔合；核聚变
future career,未来的职业 
fuzzy,adj.,模糊的；毛茸茸的
gain experience,获得经验 
gain good value,物有所值 
gain information about the past,获取关于过去的信息 
gala celebration for the Spring Festival,春节联欢晚会 
gallop,v.,（马）飞奔
game room,n.,游戏室
game show,n.,游戏节目
games,n.,游戏（复数）；运动会
gang,n.,一帮；一伙
gaps,n.,差距（复数）
garbage collection,垃圾收集 
garden entertainment,园林娱乐 
garden shears,园艺剪 
garden tools,园艺工具 
gardener,n.,园丁
garlic,n.,大蒜
garment,n.,（一件）衣服
garments,n.,衣服；服装
garret,n.,阁楼
gas,n.,气体；煤气；汽油
gas emission,气体排放 
gas tanks,n.,煤气罐；油箱
gateman,n.,看门人
gauge,n.,测量仪表；标准
gauge,v.,测量；判断
gauze,n.,纱布
gay,adj.,同性恋的；快乐的
gay,n.,同性恋者
gears or facilities,设备或设施 
geese,n.,鹅（复数）
gelatin,n.,明胶
gelatine,n.,明胶
gem,n.,宝石；珍品
gene pool,n.,基因库
general English,通用英语 
general discussion,n.,一般性讨论
general election,n.,大选
general fitness,总体健康状况 
general interest,大众兴趣 
general interests,n.,普遍利益
general knowledge,n.,常识
general practitioner,n.,全科医生
general tour,n.,普通游览
generalisation,n.,概括
generalise,v.,概括；归纳
generalization,n.,概括
generation gap,n.,代沟
generative,adj.,生成的；有生产能力的
generator expression,生成器表达式 
generator function,生成器函数 
generator iterator,生成器迭代器 
generic,adj.,普通的；一般的
generic function,泛型函数 
generous and humorous,adj.,慷慨幽默
